,Open_x,Close,Predicted_Label
328,132.100006,133.100006,1
329,374.75,369.320007,0
330,117.309998,115.160004,0
331,215.0,209.899994,0
332,330.109985,319.609985,0
333,347.0,350.790009,0
334,194.0,195.050003,1
335,213.220001,212.460007,0
336,359.0,369.48999,1
337,155.5,147.330002,0
338,236.360001,232.710007,1
339,254.110001,254.270004,0
340,131.309998,130.809998,0
341,341.339996,344.850006,0
342,132.410004,131.929993,1
343,124.650002,121.889999,0
344,211.119995,208.600006,0
345,178.589996,177.850006,0
346,295.940002,297.799988,0
347,155.160004,156.179993,1
348,261.529999,260.350006,1
349,261.5,259.75,0
350,358.450012,359.0,0
351,177.160004,179.050003,0
352,348.179993,350.640015,1
353,203.779999,210.059998,1
354,189.580002,189.399994,1
355,237.210007,240.490005,1
356,370.880005,378.98999,1
357,227.240005,221.240005,0
358,346.420013,347.450012,1
359,179.550003,181.25,1
360,357.609985,356.880005,0
361,172.289993,180.550003,0
362,129.550003,129.759995,0
363,266.140015,265.570007,0
364,179.419998,180.380005,0
365,213.25,212.869995,1
366,229.800003,235.470001,1
367,296.329987,295.100006,0
368,149.699997,151.169998,0
369,335.559998,329.920013,0
370,408.929993,409.820007,0
371,231.770004,233.869995,1
372,156.490005,155.679993,0
373,350.410004,351.119995,1
374,180.75,179.539993,1
375,339.790009,330.26001,0
