date,Open,High,Low,Close,Adj Close,Volume,,Label
07-12-2017,175.800003,180.389999,175.800003,180.139999,179.949066,20404500,,1
08-12-2017,181.529999,182.279999,178.740005,179,178.810272,19883800,,0
11-12-2017,179.300003,180.220001,178.800003,179.039993,178.850235,13168600,,0
12-12-2017,178.600006,179.179993,176.600006,176.960007,176.772446,16854100,,0
13-12-2017,177.300003,179.160004,177.25,178.300003,178.111023,14615700,,1
14-12-2017,178.289993,180.360001,177.679993,178.389999,178.200928,13591000,,1
15-12-2017,179.020004,180.490005,178.360001,180.179993,179.989029,28463100,,1
18-12-2017,181.009995,181.300003,179.75,180.820007,180.628357,17265400,,0
19-12-2017,179.949997,180.080002,178.220001,179.509995,179.319733,14920600,,0
20-12-2017,179.809998,179.809998,177.360001,177.889999,177.701462,11860500,,0
21-12-2017,177.940002,178.679993,177.050003,177.449997,177.261917,11600700,,0
22-12-2017,177.139999,177.529999,176.229996,177.199997,177.012192,8509500,,1
26-12-2017,176.630005,177,174.669998,175.990005,175.803482,8897300,,0
27-12-2017,176.550003,178.440002,176.259995,177.619995,177.431732,9496100,,1
28-12-2017,177.949997,178.940002,177.679993,177.919998,177.73143,12220800,,0
29-12-2017,178,178.850006,176.460007,176.460007,176.27298,10261500,,0
02-01-2018,177.679993,181.580002,177.550003,181.419998,181.227707,18151900,,1
03-01-2018,181.880005,184.779999,181.330002,184.669998,184.474274,16886600,,1
04-01-2018,184.899994,186.210007,184.100006,184.330002,184.134628,13880900,,0
05-01-2018,185.589996,186.899994,184.929993,186.850006,186.651962,13574500,,1
08-01-2018,187.199997,188.899994,186.330002,188.279999,188.080444,17994700,,1
09-01-2018,188.699997,188.800003,187.100006,187.869995,187.670868,12393100,,0
10-01-2018,186.940002,187.889999,185.630005,187.839996,187.6409,10529900,,1
11-01-2018,188.399994,188.399994,187.380005,187.770004,187.570984,9588600,,0
12-01-2018,178.059998,181.479996,177.399994,179.369995,179.179886,77551300,,1
16-01-2018,181.5,181.75,178.039993,178.389999,178.200928,36183800,,0
17-01-2018,179.259995,179.320007,175.800003,177.600006,177.411774,27992400,,0
18-01-2018,178.130005,180.979996,177.080002,179.800003,179.609436,23304900,,1
19-01-2018,180.850006,182.369995,180.169998,181.289993,181.097839,26826500,,1
22-01-2018,180.800003,185.389999,180.410004,185.369995,185.173523,21059500,,1
23-01-2018,186.050003,189.550003,185.550003,189.350006,189.149323,25678800,,1
24-01-2018,189.889999,190.660004,186.520004,186.550003,186.35228,24334500,,0
25-01-2018,187.949997,188.619995,186.600006,187.479996,187.281281,17377700,,0
26-01-2018,187.75,190,186.809998,190,189.798615,17759200,,1
29-01-2018,188.75,188.839996,185.630005,185.979996,185.782883,20453200,,0
30-01-2018,187.619995,188.179993,181.839996,187.119995,186.921661,20858600,,0
31-01-2018,188.369995,189.830002,185.220001,186.889999,186.69191,43275100,,0
01-02-2018,188.220001,195.320007,187.889999,193.089996,192.885345,54211300,,1
02-02-2018,192.039993,194.210007,189.979996,190.279999,190.078323,26677500,,0
05-02-2018,186.929993,190.610001,180.610001,181.259995,181.067886,33128200,,0
06-02-2018,178.570007,185.770004,177.740005,185.309998,185.113586,37758500,,1
07-02-2018,184.149994,185.080002,179.949997,180.179993,179.989029,27601900,,0
08-02-2018,181.009995,181.839996,171.479996,171.580002,171.398148,38478300,,0
09-02-2018,174.759995,176.899994,167.179993,176.110001,175.92334,39887600,,1
12-02-2018,177.059998,177.550003,171.839996,176.410004,176.223022,32092100,,0
13-02-2018,175.619995,175.970001,173.100006,173.149994,172.966476,21809400,,0
14-02-2018,173.449997,179.809998,173.210007,179.520004,179.329727,28929700,,1
15-02-2018,180.5,180.5,176.839996,179.960007,179.769272,20922100,,0
16-02-2018,178.990005,179.880005,176.300003,177.360001,177.172012,20645300,,0
20-02-2018,175.770004,177.949997,175.110001,176.009995,175.823441,21204900,,1
21-02-2018,176.710007,181.270004,176.399994,177.910004,177.721436,23200800,,1
22-02-2018,178.699997,180.210007,177.410004,178.990005,178.800293,18464200,,1
23-02-2018,179.899994,183.389999,179.509995,183.289993,183.095734,19007300,,1
26-02-2018,184.580002,185.660004,183.220001,184.929993,184.733994,17599700,,1
27-02-2018,184.449997,184.699997,181.460007,181.460007,181.267685,15849800,,0
28-02-2018,182.300003,182.880005,178.139999,178.320007,178.131012,18783000,,0
01-03-2018,179.009995,180.119995,174.410004,175.940002,175.753525,23201600,,0
02-03-2018,173.289993,177.110001,172.990005,176.619995,176.4328,20025900,,1
05-03-2018,176.199997,181.149994,175.889999,180.399994,180.208786,16189300,,1
06-03-2018,181.779999,182.380005,179.110001,179.779999,179.589447,15086800,,0
07-03-2018,178.740005,183.820007,178.070007,183.710007,183.515289,19097300,,1
08-03-2018,183.559998,184.399994,181.449997,182.339996,182.146729,17225900,,0
09-03-2018,183.910004,185.509995,183.210007,185.229996,185.033676,18526300,,1
12-03-2018,185.229996,186.100006,184.220001,184.759995,184.564163,15301200,,0
13-03-2018,185.610001,185.990005,181.110001,181.880005,181.687225,18067500,,0
14-03-2018,182.600006,184.25,181.850006,184.190002,183.994781,16821700,,1
15-03-2018,183.240005,184,182.190002,183.860001,183.665131,15614300,,1
16-03-2018,184.490005,185.330002,183.410004,185.089996,184.893814,24403400,,1
19-03-2018,177.009995,177.169998,170.059998,172.559998,172.377106,88140100,,0
20-03-2018,167.470001,170.199997,161.949997,168.149994,167.971771,129851800,,1
21-03-2018,164.800003,173.399994,163.300003,169.389999,169.210464,106598800,,1
22-03-2018,166.130005,170.270004,163.720001,164.889999,164.71524,73743000,,0
23-03-2018,165.440002,166.600006,159.020004,159.389999,159.221069,53609700,,0
26-03-2018,160.820007,161.100006,149.020004,160.059998,159.89035,126116600,,0
27-03-2018,156.309998,162.850006,150.75,152.220001,152.05867,79117000,,0
28-03-2018,151.649994,155.880005,150.800003,153.029999,152.867798,60029200,,1
29-03-2018,155.149994,161.419998,154.139999,159.789993,159.620636,59434300,,1
02-04-2018,157.809998,159.199997,154.110001,155.389999,155.225296,36796000,,0
03-04-2018,156.550003,157.389999,150.809998,156.110001,155.944534,42543900,,0
04-04-2018,152.029999,155.559998,150.509995,155.100006,154.935623,49885600,,1
05-04-2018,161.559998,161.570007,156.649994,159.339996,159.171112,41449600,,0
06-04-2018,157.729996,161.419998,156.809998,157.199997,157.033386,41644800,,0
09-04-2018,157.820007,160.529999,156.039993,157.929993,157.762604,34915200,,1
10-04-2018,157.929993,165.979996,157.009995,165.039993,164.865067,57889300,,1
11-04-2018,165.360001,168.649994,163.25,166.320007,166.143723,56144600,,1
12-04-2018,166.979996,167.449997,163.100006,163.869995,163.696304,38263000,,0
13-04-2018,164.580002,165.699997,163.770004,164.520004,164.345627,19990600,,0
16-04-2018,165.720001,165.779999,163.389999,164.830002,164.655304,18119400,,0
17-04-2018,165.830002,169,165.660004,168.660004,168.481247,22743000,,1
18-04-2018,166.880005,168.119995,165.770004,166.360001,166.18367,20969600,,0
19-04-2018,166.199997,168.330002,165.199997,168.100006,167.921844,22235000,,1
20-04-2018,167.789993,168.429993,165.809998,166.279999,166.10376,19119400,,0
23-04-2018,167.270004,168.449997,165.089996,165.839996,165.66423,23088100,,0
24-04-2018,165.429993,166.100006,158.190002,159.690002,159.520752,35079900,,0
25-04-2018,160.139999,161.059998,156.190002,159.690002,159.520752,41083600,,0
26-04-2018,173.220001,176.270004,170.800003,174.160004,173.975418,77556900,,1
27-04-2018,176.809998,177.100006,172.600006,173.589996,173.406006,29804700,,0
30-04-2018,173.789993,175.720001,171.710007,172,171.817703,20750500,,0
01-05-2018,172,174.020004,170.229996,173.860001,173.675735,26025900,,1
02-05-2018,174.25,178.080002,174.199997,176.070007,175.883392,30424500,,1
