,Open_x,Close,Predicted_Label,Label
215,187.029999,186.630005,1,0
216,219.309998,217.699997,0,0
217,171.070007,171.119995,0,1
218,185.009995,189.009995,0,1
219,311.049988,311.540009,0,1
220,272.559998,269.700012,1,0
221,178.0,179.100006,1,1
222,150.169998,150.190002,1,1
223,179.300003,179.039993,0,0
224,142.259995,141.850006,1,0
225,468.320007,470.0,1,1
226,298.880005,302.5,0,1
227,294.480011,296.730011,0,1
228,241.279999,242.240005,0,1
229,186.619995,190.160004,1,1
230,177.490005,183.089996,1,1
231,167.449997,160.320007,1,0
232,180.419998,174.699997,0,0
233,471.670013,467.049988,0,0
234,293.950012,293.200012,0,0
235,151.570007,151.529999,1,0
236,358.450012,362.649994,1,1
237,317.540009,322.709991,1,1
238,221.440002,223.229996,0,1
239,173.699997,174.649994,0,1
240,174.589996,173.419998,0,0
241,249.039993,265.279999,1,1
242,177.160004,179.479996,1,1
243,323.529999,314.690002,0,0
244,468.190002,468.899994,0,1
245,173.669998,174.789993,0,1
246,148.279999,144.300003,0,0
247,164.639999,166.0,0,1
248,156.729996,153.740005,0,0
249,262.299988,254.690002,0,0
250,169.179993,171.240005,0,1
251,268.75,266.579987,1,0
252,190.550003,193.0,1,1
253,214.889999,210.179993,1,0
254,137.139999,138.610001,1,1
255,237.699997,224.910004,0,0
256,173.449997,179.520004,1,1
257,143.880005,142.080002,1,0
258,323.089996,332.75,1,1
259,139.75,146.960007,1,1
260,97.980003,97.940002,1,0
261,142.330002,143.850006,1,1
262,152.699997,151.460007,1,0
263,126.309998,130.009995,1,1
264,224.550003,224.850006,0,1
265,160.309998,160.029999,0,0
266,267.290009,263.519989,0,0
267,164.570007,165.550003,1,1
268,179.550003,180.449997,0,1
269,164.800003,169.389999,1,1
270,191.910004,190.419998,0,0
271,178.449997,182.279999,1,1
272,173.289993,176.619995,1,1
273,362.100006,359.959991,1,0
274,169.979996,171.179993,1,1
275,150.149994,150.679993,0,1
276,174.149994,177.880005,1,1
277,127.269997,132.990005,1,1
278,200.149994,200.779999,1,1
279,171.380005,170.630005,0,0
280,485.100006,497.369995,1,1
281,166.389999,166.690002,1,1
282,202.220001,202.539993,1,1
283,174.839996,174.600006,1,0
284,289.98999,294.529999,1,1
285,172.75,172.440002,0,0
286,188.529999,190.899994,1,1
287,180.839996,177.75,0,0
288,288.700012,278.470001,0,0
289,268.290009,270.970001,1,1
290,148.509995,150.039993,0,1
291,181.009995,171.580002,0,0
292,149.660004,148.100006,0,0
293,210.190002,207.190002,0,0
294,264.079987,268.440002,1,1
295,164.5,164.210007,0,0
296,185.610001,181.880005,0,0
297,298.730011,305.579987,1,1
298,295.619995,301.709991,1,1
299,356.25,355.450012,1,0
300,183.470001,186.529999,1,1
301,132.889999,133.229996,0,1
302,140.729996,137.929993,0,0
303,271.890015,273.350006,1,1
304,151.970001,152.380005,1,1
305,307.380005,300.209991,0,0
306,172.089996,171.919998,1,0
307,165.429993,159.690002,0,0
308,505.130005,495.890015,0,0
309,149.0,147.539993,1,0
310,222.570007,221.770004,0,0
311,276.950012,276.779999,0,0
312,269.140015,268.399994,0,0
313,190.949997,189.529999,1,0
314,141.220001,141.5,1,1
315,190.800003,192.029999,1,1
316,151.710007,152.869995,1,1
317,352.420013,358.920013,1,1
318,208.669998,208.100006,0,0
319,174.309998,172.080002,0,0
320,179.160004,179.850006,1,1
321,274.779999,268.940002,0,0
322,165.699997,169.25,1,1
323,191.820007,189.75,1,0
324,149.410004,147.059998,0,0
325,301.190002,298.570007,0,0
326,332.48999,341.660004,1,1
327,332.690002,339.029999,1,1
328,179.899994,183.289993,1,1
329,270.059998,266.609985,0,0
330,261.5,269.01001,1,1
331,167.789993,166.279999,1,0
332,192.5,191.490005,1,0
333,188.449997,198.860001,1,1
334,200.559998,195.610001,0,0
335,312.209991,309.76001,0,0
336,441.459991,443.290009,0,1
337,237.789993,238.789993,1,1
338,173.089996,170.949997,0,0
339,180.529999,181.759995,1,1
340,176.350006,174.149994,0,0
341,183.039993,175.570007,0,0
342,264.600006,261.359985,0,0
343,476.579987,479.920013,1,1
344,213.270004,216.880005,1,1
345,240.960007,236.729996,0,0
346,188.660004,182.910004,1,0
347,163.0,166.289993,1,1
348,133.600006,136.119995,0,1
349,141.070007,139.529999,0,0
350,169.600006,169.5,1,0
351,200.0,202.729996,1,1
352,175.5,174.979996,1,0
353,224.589996,231.910004,1,1
354,377.640015,378.0,1,1
355,366.299988,368.369995,1,1
356,331.51001,330.049988,1,0
357,140.199997,139.990005,0,0
358,184.449997,181.460007,0,0
359,165.720001,164.830002,1,0
360,271.23999,273.570007,1,1
361,193.369995,197.360001,0,1
362,180.509995,181.330002,1,1
363,191.360001,195.130005,0,1
